file,energy_before_eV,energy_after_eV,delta_energy_eV,energy_per_atom_eV,natoms,formula,relaxed_file
struct_0211.cif,-48.307873,-48.500645,-0.19277191,-6.0625806,8,Ca2O2Si2Ti2,struct_0211_relaxed.cif
struct_0212.cif,-76.26452,-76.318504,-0.053985596,-7.6318502,10,CaO6Si2Ti,struct_0212_relaxed.cif
struct_0213.cif,-25.737097,-25.753103,-0.01600647,-6.438276,4,CaOSiTi,struct_0213_relaxed.cif
struct_0214.cif,-88.52955,-88.93444,-0.40489197,-7.4112034,12,CaO8Si2Ti,struct_0214_relaxed.cif
struct_0215.cif,-82.48004,-82.49384,-0.013801575,-6.874487,12,Ca2O8SiTi,struct_0215_relaxed.cif
struct_0216.cif,-131.52402,-131.54276,-0.018737793,-8.221422,16,Ca2O10SiTi3,struct_0216_relaxed.cif
struct_0217.cif,-77.083435,-77.083954,-0.0005187988,-7.7083955,10,Ca2O6SiTi,struct_0217_relaxed.cif
struct_0218.cif,-38.83181,-38.839504,-0.0076942444,-6.473251,6,Ca2O2SiTi,struct_0218_relaxed.cif
struct_0219.cif,-128.8238,-128.82983,-0.0060272217,-8.051865,16,Ca2O10Si2Ti2,struct_0219_relaxed.cif
struct_0220.cif,-48.898643,-48.907063,-0.008419037,-6.113383,8,Ca2OSi3Ti2,struct_0220_relaxed.cif
struct_0221.cif,-88.52234,-88.92273,-0.40039062,-7.4102273,12,CaO8Si2Ti,struct_0221_relaxed.cif
struct_0222.cif,-88.530205,-88.94655,-0.4163437,-7.4122124,12,CaO8Si2Ti,struct_0222_relaxed.cif
